Name,long,Lat
,-97.017,26.167
Ceratocephale oculata,-96.742,20.258
Ceratocephale loveni,-96.65,26.17
Ceratocephale oculata,-96.65,26.167
Ceratocephale oculata,-96.53,27.435
Ceratocephale loveni,-96.53,27.435
Ceratocephale oculata,-96.52,26.17
Ceratocephale loveni,-96.52,26.17
Ceratocephale oculata,-96.517,26.167
Ceratocephale oculata,-96.484,27.551
Ceratocephale loveni,-96.484,27.551
Ceratocephale oculata,-96.483,28.233
Ceratocephale loveni,-96.48,28.23
Ceratocephale oculata,-96.472,27.535
Ceratocephale loveni,-96.472,27.535
Ceratocephale oculata,-96.457,27.546
Ceratocephale loveni,-96.457,27.546
Ceratocephale oculata,-96.45,28.2
Ceratocephale oculata,-96.4,26.17
Ceratocephale loveni,-96.4,26.17
Ceratocephale oculata,-96.4,26.167
Ceratocephale oculata,-96.383,27.3
Ceratocephale oculata,-96.38,27.3
Ceratocephale loveni,-96.38,27.3
Ceratocephale oculata,-96.333,26.167
Ceratocephale loveni,-96.12,27.57
Ceratocephale oculata,-96.117,27.567
Ceratocephale oculata,-96.002,27.5
Ceratocephale oculata,-95.744,27.254
Ceratocephale oculata,-95.725,19.058
Ceratocephale oculata,-95.335,15.953
Ceratocephale loveni,-95.246,26.748
Ceratocephale oculata,-95.003,26.505
Ceratocephale oculata,-94.665,16.064
Ceratocephale oculata,-94.662,28.112
Ceratocephale oculata,-94.49,26.002
Ceratocephale oculata,-94.251,18.756
Ceratocephale oculata,-94.207,18.268
Ceratocephale oculata,-94.021,18.395
Ceratocephale oculata,-93.858,18.395
Ceratocephale oculata,-93.548,27.58
Ceratocephale oculata,-93.494,28.161
Ceratocephale loveni,-93.322,26.283
Ceratocephale oculata,-93.32,26.732
Ceratocephale loveni,-93.32,26.003
Ceratocephale oculata,-92.717,29.733
Ceratocephale oculata,-92.614,29.019
Ceratocephale oculata,-92.392,19.092
Ceratocephale oculata,-92.275,19.875
Ceratocephale oculata,-92.136,27.724
Ceratocephale oculata,-92.058,21.108
Ceratocephale oculata,-92.022,20.999
Ceratocephale oculata,-92.013,20.245
Ceratocephale oculata,-92.003,23.5
Ceratocephale oculata,-92,21.483
Ceratocephale oculata,-91.902,21.347
Ceratocephale oculata,-91.875,20.758
Ceratocephale oculata,-91.633,19.932
Ceratocephale oculata,-91.556,27.323
Ceratocephale oculata,-91.519,20.491
Ceratocephale oculata,-91.5,20.983
Ceratocephale oculata,-91.47,27.798
Ceratocephale oculata,-91.242,21.942
Ceratocephale oculata,-91.227,27.759
Ceratocephale oculata,-91.125,21.842
Ceratocephale oculata,-91.058,20.958
Ceratocephale oculata,-90.755,24.756
Ceratocephale oculata,-90.491,20.492
Ceratocephale oculata,-90.265,28.068
Ceratocephale oculata,-90.253,28.055
Ceratocephale loveni,-90.249,28.06
Ceratocephale oculata,-90.245,28.667
Ceratocephale oculata,-90.118,27.827
Ceratocephale oculata,-90.118,27.82
Ceratocephale oculata,-90.1,28.029
Ceratocephale oculata,-90.1,27.907
