family,genus,species,Longitude,Latitude
Nereididae,Hediste,Hediste diversicolor,-4.893,51.768
Nereididae,Hediste,Hediste diversicolor,-4.893,51.663
Nereididae,Hediste,Hediste diversicolor,-4.893,50.53
Nereididae,Hediste,Hediste diversicolor,-4.892,50.529
Nereididae,Hediste,Hediste diversicolor,-4.892,51.719
Nereididae,Hediste,Hediste diversicolor,-4.892,51.768
Nereididae,Hediste,Hediste diversicolor,-4.891,51.709
Nereididae,Hediste,Hediste diversicolor,-4.891,50.533
Nereididae,Hediste,Hediste diversicolor,-4.891,51.72
Nereididae,Hediste,Hediste diversicolor,-4.89,51.708
Nereididae,Hediste,Hediste diversicolor,-4.89,55.704
Nereididae,Hediste,Hediste diversicolor,-4.89,50.533
Nereididae,Hediste,Hediste diversicolor,-4.889,50.535
Nereididae,Hediste,Hediste diversicolor,-4.889,51.761
Nereididae,Hediste,Hediste diversicolor,-4.888,50.534
Nereididae,Hediste,Hediste diversicolor,-4.888,50.53
Nereididae,Hediste,Hediste diversicolor,-4.887,50.53
Nereididae,Hediste,Hediste diversicolor,-4.885,50.532
Nereididae,Hediste,Hediste diversicolor,-4.885,51.773
Nereididae,Hediste,Hediste diversicolor,-4.884,50.533
Nereididae,Hediste,Hediste diversicolor,-4.884,51.772
Nereididae,Hediste,Hediste diversicolor,-4.883,51.734
Nereididae,Hediste,Hediste diversicolor,-4.882,50.53
Nereididae,Hediste,Hediste diversicolor,-4.882,51.726
Nereididae,Hediste,Hediste diversicolor,-4.882,51.733
Nereididae,Hediste,Hediste diversicolor,-4.882,51.717
Nereididae,Hediste,Hediste diversicolor,-4.882,51.734
Nereididae,Hediste,Hediste diversicolor,-4.881,51.734
Nereididae,Hediste,Hediste diversicolor,-4.881,50.534
Nereididae,Hediste,Hediste diversicolor,-4.881,51.733
Nereididae,Hediste,Hediste diversicolor,-4.88,51.733
Nereididae,Hediste,Hediste diversicolor,-4.88,51.773
Nereididae,Hediste,Hediste diversicolor,-4.88,50.532
Nereididae,Hediste,Hediste diversicolor,-4.88,51.734
Nereididae,Hediste,Hediste diversicolor,-4.879,51.733
Nereididae,Hediste,Hediste diversicolor,-4.878,51.734
Nereididae,Hediste,Hediste diversicolor,-4.877,51.734
Nereididae,Hediste,Hediste diversicolor,-4.877,51.732
Nereididae,Hediste,Hediste diversicolor,-4.877,51.774
Nereididae,Hediste,Hediste diversicolor,-4.877,50.532
Nereididae,Hediste,Hediste diversicolor,-4.876,51.774
Nereididae,Hediste,Hediste diversicolor,-4.876,50.534
Nereididae,Hediste,Hediste diversicolor,-4.876,50.532
Nereididae,Hediste,Hediste diversicolor,-4.876,50.531
Nereididae,Hediste,Hediste diversicolor,-4.876,55.729
Nereididae,Hediste,Hediste diversicolor,-4.875,51.775
Nereididae,Hediste,Hediste diversicolor,-4.875,51.773
Nereididae,Hediste,Hediste diversicolor,-4.874,51.774
Nereididae,Hediste,Hediste diversicolor,-4.874,51.775
Nereididae,Hediste,Hediste diversicolor,-4.874,51.717
Nereididae,Hediste,Hediste diversicolor,-4.874,51.773
Nereididae,Hediste,Hediste diversicolor,-4.873,51.773
Nereididae,Hediste,Hediste diversicolor,-4.873,50.53
Nereididae,Hediste,Hediste diversicolor,-4.873,50.533
Nereididae,Hediste,Hediste diversicolor,-4.873,51.717
Nereididae,Hediste,Hediste diversicolor,-4.873,51.775
Nereididae,Hediste,Hediste diversicolor,-4.872,55.767
Nereididae,Hediste,Hediste diversicolor,-4.872,51.773
Nereididae,Hediste,Hediste diversicolor,-4.872,51.772
Nereididae,Hediste,Hediste diversicolor,-4.872,50.535
Nereididae,Hediste,Hediste diversicolor,-4.872,51.774
Nereididae,Hediste,Hediste diversicolor,-4.871,51.719
Nereididae,Hediste,Hediste diversicolor,-4.871,51.772
Nereididae,Hediste,Hediste diversicolor,-4.871,51.721
Nereididae,Hediste,Hediste diversicolor,-4.87,51.719
Nereididae,Hediste,Hediste diversicolor,-4.87,51.722
Nereididae,Hediste,Hediste diversicolor,-4.87,55.686
Nereididae,Hediste,Hediste diversicolor,-4.869,51.722
Nereididae,Hediste,Hediste diversicolor,-4.869,51.719
Nereididae,Hediste,Hediste diversicolor,-4.869,51.72
Nereididae,Hediste,Hediste diversicolor,-4.869,51.721
Nereididae,Hediste,Hediste diversicolor,-4.868,50.533
Nereididae,Hediste,Hediste diversicolor,-4.868,51.721
Nereididae,Hediste,Hediste diversicolor,-4.868,51.719
Nereididae,Hediste,Hediste diversicolor,-4.868,51.718
Nereididae,Hediste,Hediste diversicolor,-4.867,51.781
Nereididae,Hediste,Hediste diversicolor,-4.867,55.71
Nereididae,Hediste,Hediste diversicolor,-4.866,51.781
Nereididae,Hediste,Hediste diversicolor,-4.866,51.78
Nereididae,Hediste,Hediste diversicolor,-4.865,51.784
Nereididae,Hediste,Hediste diversicolor,-4.865,51.783
Nereididae,Hediste,Hediste diversicolor,-4.864,51.784
Nereididae,Hediste,Hediste diversicolor,-4.864,51.716
Nereididae,Hediste,Hediste diversicolor,-4.864,50.533
Nereididae,Hediste,Hediste diversicolor,-4.864,51.717
Nereididae,Hediste,Hediste diversicolor,-4.864,50.532
Nereididae,Hediste,Hediste diversicolor,-4.864,51.783
Nereididae,Hediste,Hediste diversicolor,-4.863,51.783
Nereididae,Hediste,Hediste diversicolor,-4.863,51.716
Nereididae,Hediste,Hediste diversicolor,-4.863,50.533
Nereididae,Hediste,Hediste diversicolor,-4.862,50.534
Nereididae,Hediste,Hediste diversicolor,-4.862,51.719
Nereididae,Hediste,Hediste diversicolor,-4.862,51.721
Nereididae,Hediste,Hediste diversicolor,-4.861,51.713
Nereididae,Hediste,Hediste diversicolor,-4.861,51.719
Nereididae,Hediste,Hediste diversicolor,-4.861,50.532
Nereididae,Hediste,Hediste diversicolor,-4.861,50.53
Nereididae,Hediste,Hediste diversicolor,-4.861,55.759
Nereididae,Hediste,Hediste diversicolor,-4.86,51.713
Nereididae,Hediste,Hediste diversicolor,-4.86,51.712
Nereididae,Hediste,Hediste diversicolor,-4.86,51.719
Nereididae,Hediste,Hediste diversicolor,-4.859,51.722
Nereididae,Hediste,Hediste diversicolor,-4.859,50.533
Nereididae,Hediste,Hediste diversicolor,-4.858,50.53
Nereididae,Hediste,Hediste diversicolor,-4.858,50.531
Nereididae,Hediste,Hediste diversicolor,-4.858,55.778
Nereididae,Hediste,Hediste diversicolor,-4.856,50.533
Nereididae,Hediste,Hediste diversicolor,-4.855,50.529
Nereididae,Hediste,Hediste diversicolor,-4.853,50.531
Nereididae,Hediste,Hediste diversicolor,-4.853,51.718
Nereididae,Hediste,Hediste diversicolor,-4.852,50.531
Nereididae,Hediste,Hediste diversicolor,-4.852,51.787
Nereididae,Hediste,Hediste diversicolor,-4.848,50.526
Nereididae,Hediste,Hediste diversicolor,-4.846,52.022
Nereididae,Hediste,Hediste diversicolor,-4.846,50.525
Nereididae,Hediste,Hediste diversicolor,-4.846,52.021
Nereididae,Hediste,Hediste diversicolor,-4.845,52.021
Nereididae,Hediste,Hediste diversicolor,-4.844,52.033
Nereididae,Hediste,Hediste diversicolor,-4.843,52.015
Nereididae,Hediste,Hediste diversicolor,-4.843,52.033
Nereididae,Hediste,Hediste diversicolor,-4.843,52.021
Nereididae,Hediste,Hediste diversicolor,-4.842,52.021
Nereididae,Hediste,Hediste diversicolor,-4.842,52.015
Nereididae,Hediste,Hediste diversicolor,-4.841,52.022
Nereididae,Hediste,Hediste diversicolor,-4.84,52.022
Nereididae,Hediste,Hediste diversicolor,-4.84,54.863
Nereididae,Hediste,Hediste diversicolor,-4.84,52.021
Nereididae,Hediste,Hediste diversicolor,-4.84,50.521
Nereididae,Hediste,Hediste diversicolor,-4.84,50.519
Nereididae,Hediste,Hediste diversicolor,-4.84,52.03
Nereididae,Hediste,Hediste diversicolor,-4.839,50.52
Nereididae,Hediste,Hediste diversicolor,-4.839,51.79
Nereididae,Hediste,Hediste diversicolor,-4.839,51.791
Nereididae,Hediste,Hediste diversicolor,-4.839,52.022
Nereididae,Hediste,Hediste diversicolor,-4.836,51.723
Nereididae,Hediste,Hediste diversicolor,-4.835,51.699
Nereididae,Hediste,Hediste diversicolor,-4.834,51.699
Nereididae,Hediste,Hediste diversicolor,-4.834,51.7
Nereididae,Hediste,Hediste diversicolor,-4.834,51.723
Nereididae,Hediste,Hediste diversicolor,-4.834,51.698
Nereididae,Hediste,Hediste diversicolor,-4.833,51.7
Nereididae,Hediste,Hediste diversicolor,-4.833,51.699
Nereididae,Hediste,Hediste diversicolor,-4.833,51.698
Nereididae,Hediste,Hediste diversicolor,-4.833,50.516
Nereididae,Hediste,Hediste diversicolor,-4.832,51.699
Nereididae,Hediste,Hediste diversicolor,-4.832,51.7
Nereididae,Hediste,Hediste diversicolor,-4.831,51.704
Nereididae,Hediste,Hediste diversicolor,-4.831,51.699
Nereididae,Hediste,Hediste diversicolor,-4.831,51.7
Nereididae,Hediste,Hediste diversicolor,-4.831,50.515
Nereididae,Hediste,Hediste diversicolor,-4.831,51.698
Nereididae,Hediste,Hediste diversicolor,-4.83,51.7
Nereididae,Hediste,Hediste diversicolor,-4.83,51.699
Nereididae,Hediste,Hediste diversicolor,-4.83,52.022
Nereididae,Hediste,Hediste diversicolor,-4.829,51.7
Nereididae,Hediste,Hediste diversicolor,-4.829,51.699
Nereididae,Hediste,Hediste diversicolor,-4.828,51.699
Nereididae,Hediste,Hediste diversicolor,-4.828,51.799
Nereididae,Hediste,Hediste diversicolor,-4.827,51.699
Nereididae,Hediste,Hediste diversicolor,-4.827,51.7
Nereididae,Hediste,Hediste diversicolor,-4.826,51.699
Nereididae,Hediste,Hediste diversicolor,-4.826,51.726
Nereididae,Hediste,Hediste diversicolor,-4.825,51.699
Nereididae,Hediste,Hediste diversicolor,-4.823,51.709
Nereididae,Hediste,Hediste diversicolor,-4.823,52.019
Nereididae,Hediste,Hediste diversicolor,-4.822,52.02
Nereididae,Hediste,Hediste diversicolor,-4.811,58.527
Nereididae,Hediste,Hediste diversicolor,-4.799,58.525
Nereididae,Hediste,Hediste diversicolor,-4.798,58.526
Nereididae,Hediste,Hediste diversicolor,-4.781,58.551
Nereididae,Hediste,Hediste diversicolor,-4.773,55.376
Nereididae,Hediste,Hediste diversicolor,-4.769,54.085
Nereididae,Hediste,Hediste diversicolor,-4.757,58.45
Nereididae,Hediste,Hediste diversicolor,-4.749,56.205
Nereididae,Hediste,Hediste diversicolor,-4.747,56.204
Nereididae,Hediste,Hediste diversicolor,-4.737,54.068
Nereididae,Hediste,Hediste diversicolor,-4.72,55.893
Nereididae,Hediste,Hediste diversicolor,-4.711,55.629
Nereididae,Hediste,Hediste diversicolor,-4.71,55.629
Nereididae,Hediste,Hediste diversicolor,-4.708,54.086
Nereididae,Hediste,Hediste diversicolor,-4.708,55.625
Nereididae,Hediste,Hediste diversicolor,-4.706,55.625
Nereididae,Hediste,Hediste diversicolor,-4.705,55.625
Nereididae,Hediste,Hediste diversicolor,-4.705,55.62
Nereididae,Hediste,Hediste diversicolor,-4.704,55.62
Nereididae,Hediste,Hediste diversicolor,-4.703,55.62
Nereididae,Hediste,Hediste diversicolor,-4.7,52.072
Nereididae,Hediste,Hediste diversicolor,-4.698,55.967
Nereididae,Hediste,Hediste diversicolor,-4.697,51.672
Nereididae,Hediste,Hediste diversicolor,-4.695,51.706
Nereididae,Hediste,Hediste diversicolor,-4.694,51.706
Nereididae,Hediste,Hediste diversicolor,-4.693,51.716
Nereididae,Hediste,Hediste diversicolor,-4.692,55.616
Nereididae,Hediste,Hediste diversicolor,-4.692,51.716
Nereididae,Hediste,Hediste diversicolor,-4.691,55.616
Nereididae,Hediste,Hediste diversicolor,-4.691,55.611
Nereididae,Hediste,Hediste diversicolor,-4.689,52.104
Nereididae,Hediste,Hediste diversicolor,-4.689,55.611
Nereididae,Hediste,Hediste diversicolor,-4.688,52.1
Nereididae,Hediste,Hediste diversicolor,-4.688,52.103
Nereididae,Hediste,Hediste diversicolor,-4.687,55.612
Nereididae,Hediste,Hediste diversicolor,-4.684,52.103
Nereididae,Hediste,Hediste diversicolor,-4.683,52.104
Nereididae,Hediste,Hediste diversicolor,-4.683,52.091
Nereididae,Hediste,Hediste diversicolor,-4.68,52.084
Nereididae,Hediste,Hediste diversicolor,-4.679,52.084
Nereididae,Hediste,Hediste diversicolor,-4.679,52.097
Nereididae,Hediste,Hediste diversicolor,-4.678,51.713
Nereididae,Hediste,Hediste diversicolor,-4.674,55.938
Nereididae,Hediste,Hediste diversicolor,-4.665,52.082
Nereididae,Hediste,Hediste diversicolor,-4.664,52.083
Nereididae,Hediste,Hediste diversicolor,-4.663,50.397
Nereididae,Hediste,Hediste diversicolor,-4.662,50.393
Nereididae,Hediste,Hediste diversicolor,-4.66,55.558
Nereididae,Hediste,Hediste diversicolor,-4.658,50.386
Nereididae,Hediste,Hediste diversicolor,-4.655,52.081
Nereididae,Hediste,Hediste diversicolor,-4.655,50.382
Nereididae,Hediste,Hediste diversicolor,-4.653,50.728
Nereididae,Hediste,Hediste diversicolor,-4.652,50.728
Nereididae,Hediste,Hediste diversicolor,-4.651,50.381
Nereididae,Hediste,Hediste diversicolor,-4.65,54.067
Nereididae,Hediste,Hediste diversicolor,-4.649,50.38
Nereididae,Hediste,Hediste diversicolor,-4.646,50.376
Nereididae,Hediste,Hediste diversicolor,-4.645,54.07
Nereididae,Hediste,Hediste diversicolor,-4.644,50.376
Nereididae,Hediste,Hediste diversicolor,-4.64,52.076
Nereididae,Hediste,Hediste diversicolor,-4.639,50.362
Nereididae,Hediste,Hediste diversicolor,-4.638,50.362
Nereididae,Hediste,Hediste diversicolor,-4.637,50.373
Nereididae,Hediste,Hediste diversicolor,-4.636,50.363
Nereididae,Hediste,Hediste diversicolor,-4.635,50.368
Nereididae,Hediste,Hediste diversicolor,-4.634,52.284
Nereididae,Hediste,Hediste diversicolor,-4.634,50.741
Nereididae,Hediste,Hediste diversicolor,-4.633,50.741
Nereididae,Hediste,Hediste diversicolor,-4.633,50.367
Nereididae,Hediste,Hediste diversicolor,-4.632,50.38
Nereididae,Hediste,Hediste diversicolor,-4.63,50.346
Nereididae,Hediste,Hediste diversicolor,-4.629,50.347
Nereididae,Hediste,Hediste diversicolor,-4.628,53.333
Nereididae,Hediste,Hediste diversicolor,-4.628,50.358
Nereididae,Hediste,Hediste diversicolor,-4.625,50.382
Nereididae,Hediste,Hediste diversicolor,-4.624,53.243
Nereididae,Hediste,Hediste diversicolor,-4.623,50.336
Nereididae,Hediste,Hediste diversicolor,-4.623,53.243
Nereididae,Hediste,Hediste diversicolor,-4.623,50.335
Nereididae,Hediste,Hediste diversicolor,-4.62,50.371
Nereididae,Hediste,Hediste diversicolor,-4.619,50.335
Nereididae,Hediste,Hediste diversicolor,-4.619,50.383
Nereididae,Hediste,Hediste diversicolor,-4.619,50.384
Nereididae,Hediste,Hediste diversicolor,-4.618,50.334
Nereididae,Hediste,Hediste diversicolor,-4.618,50.384
Nereididae,Hediste,Hediste diversicolor,-4.615,54.07
Nereididae,Hediste,Hediste diversicolor,-4.615,50.358
Nereididae,Hediste,Hediste diversicolor,-4.615,50.336
Nereididae,Hediste,Hediste diversicolor,-4.614,50.358
Nereididae,Hediste,Hediste diversicolor,-4.612,48.606
Nereididae,Hediste,Hediste diversicolor,-4.609,50.359
Nereididae,Hediste,Hediste diversicolor,-4.607,50.36
Nereididae,Hediste,Hediste diversicolor,-4.605,53.423
Nereididae,Hediste,Hediste diversicolor,-4.598,53.316
Nereididae,Hediste,Hediste diversicolor,-4.597,53.315
Nereididae,Hediste,Hediste diversicolor,-4.595,53.286
Nereididae,Hediste,Hediste diversicolor,-4.595,53.279
Nereididae,Hediste,Hediste diversicolor,-4.585,53.293
Nereididae,Hediste,Hediste diversicolor,-4.58,53.273
Nereididae,Hediste,Hediste diversicolor,-4.579,53.273
Nereididae,Hediste,Hediste diversicolor,-4.573,53.293
Nereididae,Hediste,Hediste diversicolor,-4.571,53.265
Nereididae,Hediste,Hediste diversicolor,-4.567,48.599
Nereididae,Hediste,Hediste diversicolor,-4.567,52.943
Nereididae,Hediste,Hediste diversicolor,-4.56,55.896
Nereididae,Hediste,Hediste diversicolor,-4.559,50.875
Nereididae,Hediste,Hediste diversicolor,-4.558,50.874
Nereididae,Hediste,Hediste diversicolor,-4.557,53.379
Nereididae,Hediste,Hediste diversicolor,-4.557,53.256
Nereididae,Hediste,Hediste diversicolor,-4.549,52.788
Nereididae,Hediste,Hediste diversicolor,-4.543,53.406
Nereididae,Hediste,Hediste diversicolor,-4.543,53.305
Nereididae,Hediste,Hediste diversicolor,-4.543,53.306
Nereididae,Hediste,Hediste diversicolor,-4.539,51.806
Nereididae,Hediste,Hediste diversicolor,-4.535,51.716
Nereididae,Hediste,Hediste diversicolor,-4.524,53.223
Nereididae,Hediste,Hediste diversicolor,-4.522,53.235
Nereididae,Hediste,Hediste diversicolor,-4.521,53.235
Nereididae,Hediste,Hediste diversicolor,-4.52,53.411
Nereididae,Hediste,Hediste diversicolor,-4.515,53.411
Nereididae,Hediste,Hediste diversicolor,-4.514,53.409
Nereididae,Hediste,Hediste diversicolor,-4.514,53.411
Nereididae,Hediste,Hediste diversicolor,-4.513,53.41
Nereididae,Hediste,Hediste diversicolor,-4.513,53.411
Nereididae,Hediste,Hediste diversicolor,-4.513,53.409
Nereididae,Hediste,Hediste diversicolor,-4.512,53.411
Nereididae,Hediste,Hediste diversicolor,-4.512,53.409
Nereididae,Hediste,Hediste diversicolor,-4.512,53.41
Nereididae,Hediste,Hediste diversicolor,-4.51,53.409
Nereididae,Hediste,Hediste diversicolor,-4.509,53.409
Nereididae,Hediste,Hediste diversicolor,-4.494,52.812
Nereididae,Hediste,Hediste diversicolor,-4.494,51.81
Nereididae,Hediste,Hediste diversicolor,-4.485,53.426
Nereididae,Hediste,Hediste diversicolor,-4.479,52.853
Nereididae,Hediste,Hediste diversicolor,-4.478,53.336
Nereididae,Hediste,Hediste diversicolor,-4.47,53.192
Nereididae,Hediste,Hediste diversicolor,-4.469,53.156
Nereididae,Hediste,Hediste diversicolor,-4.468,51.788
Nereididae,Hediste,Hediste diversicolor,-4.468,53.156
Nereididae,Hediste,Hediste diversicolor,-4.467,53.19
Nereididae,Hediste,Hediste diversicolor,-4.466,53.186
Nereididae,Hediste,Hediste diversicolor,-4.466,55.923
Nereididae,Hediste,Hediste diversicolor,-4.466,53.185
Nereididae,Hediste,Hediste diversicolor,-4.465,50.374
Nereididae,Hediste,Hediste diversicolor,-4.464,50.358
Nereididae,Hediste,Hediste diversicolor,-4.462,53.192
Nereididae,Hediste,Hediste diversicolor,-4.461,51.789
Nereididae,Hediste,Hediste diversicolor,-4.459,51.768
Nereididae,Hediste,Hediste diversicolor,-4.458,51.766
Nereididae,Hediste,Hediste diversicolor,-4.458,51.768
Nereididae,Hediste,Hediste diversicolor,-4.455,51.772
Nereididae,Hediste,Hediste diversicolor,-4.454,51.772
Nereididae,Hediste,Hediste diversicolor,-4.454,51.774
Nereididae,Hediste,Hediste diversicolor,-4.453,51.773
Nereididae,Hediste,Hediste diversicolor,-4.452,51.767
Nereididae,Hediste,Hediste diversicolor,-4.452,51.769
Nereididae,Hediste,Hediste diversicolor,-4.452,51.773
Nereididae,Hediste,Hediste diversicolor,-4.451,51.769
Nereididae,Hediste,Hediste diversicolor,-4.451,55.021
Nereididae,Hediste,Hediste diversicolor,-4.45,51.769
Nereididae,Hediste,Hediste diversicolor,-4.449,51.769
Nereididae,Hediste,Hediste diversicolor,-4.448,52.797
Nereididae,Hediste,Hediste diversicolor,-4.447,51.784
Nereididae,Hediste,Hediste diversicolor,-4.447,53.127
Nereididae,Hediste,Hediste diversicolor,-4.446,50.336
Nereididae,Hediste,Hediste diversicolor,-4.444,51.776
Nereididae,Hediste,Hediste diversicolor,-4.443,51.776
Nereididae,Hediste,Hediste diversicolor,-4.44,51.758
Nereididae,Hediste,Hediste diversicolor,-4.44,51.757
Nereididae,Hediste,Hediste diversicolor,-4.437,51.756
Nereididae,Hediste,Hediste diversicolor,-4.435,51.745
Nereididae,Hediste,Hediste diversicolor,-4.431,51.757
Nereididae,Hediste,Hediste diversicolor,-4.429,51.757
Nereididae,Hediste,Hediste diversicolor,-4.428,51.763
Nereididae,Hediste,Hediste diversicolor,-4.423,52.887
Nereididae,Hediste,Hediste diversicolor,-4.422,55.858
Nereididae,Hediste,Hediste diversicolor,-4.422,55.864
Nereididae,Hediste,Hediste diversicolor,-4.419,55.868
Nereididae,Hediste,Hediste diversicolor,-4.418,54.885
Nereididae,Hediste,Hediste diversicolor,-4.418,54.88
Nereididae,Hediste,Hediste diversicolor,-4.418,55.869
Nereididae,Hediste,Hediste diversicolor,-4.418,55.859
Nereididae,Hediste,Hediste diversicolor,-4.417,54.875
Nereididae,Hediste,Hediste diversicolor,-4.417,54.869
Nereididae,Hediste,Hediste diversicolor,-4.416,54.859
Nereididae,Hediste,Hediste diversicolor,-4.416,54.853
Nereididae,Hediste,Hediste diversicolor,-4.413,55.881
Nereididae,Hediste,Hediste diversicolor,-4.409,54.919
Nereididae,Hediste,Hediste diversicolor,-4.409,54.886
Nereididae,Hediste,Hediste diversicolor,-4.409,55.882
Nereididae,Hediste,Hediste diversicolor,-4.409,57.594
Nereididae,Hediste,Hediste diversicolor,-4.408,55.88
Nereididae,Hediste,Hediste diversicolor,-4.408,57.595
Nereididae,Hediste,Hediste diversicolor,-4.408,54.88
Nereididae,Hediste,Hediste diversicolor,-4.408,57.596
Nereididae,Hediste,Hediste diversicolor,-4.407,57.596
Nereididae,Hediste,Hediste diversicolor,-4.407,57.594
Nereididae,Hediste,Hediste diversicolor,-4.406,52.884
Nereididae,Hediste,Hediste diversicolor,-4.405,57.596
Nereididae,Hediste,Hediste diversicolor,-4.405,55.888
Nereididae,Hediste,Hediste diversicolor,-4.405,57.595
Nereididae,Hediste,Hediste diversicolor,-4.404,51.738
Nereididae,Hediste,Hediste diversicolor,-4.404,57.596
Nereididae,Hediste,Hediste diversicolor,-4.402,54.851
Nereididae,Hediste,Hediste diversicolor,-4.4,51.757
Nereididae,Hediste,Hediste diversicolor,-4.4,51.756
Nereididae,Hediste,Hediste diversicolor,-4.4,54.877
Nereididae,Hediste,Hediste diversicolor,-4.399,54.877
Nereididae,Hediste,Hediste diversicolor,-4.399,51.756
Nereididae,Hediste,Hediste diversicolor,-4.397,53.178
Nereididae,Hediste,Hediste diversicolor,-4.396,54.832
Nereididae,Hediste,Hediste diversicolor,-4.394,51.763
Nereididae,Hediste,Hediste diversicolor,-4.394,51.809
Nereididae,Hediste,Hediste diversicolor,-4.394,57.495
Nereididae,Hediste,Hediste diversicolor,-4.393,51.773
Nereididae,Hediste,Hediste diversicolor,-4.392,51.773
Nereididae,Hediste,Hediste diversicolor,-4.392,57.496
Nereididae,Hediste,Hediste diversicolor,-4.392,54.897
Nereididae,Hediste,Hediste diversicolor,-4.391,51.737
Nereididae,Hediste,Hediste diversicolor,-4.39,51.719
Nereididae,Hediste,Hediste diversicolor,-4.39,54.886
Nereididae,Hediste,Hediste diversicolor,-4.39,57.49
Nereididae,Hediste,Hediste diversicolor,-4.389,51.719
Nereididae,Hediste,Hediste diversicolor,-4.388,54.854
Nereididae,Hediste,Hediste diversicolor,-4.387,57.49
Nereididae,Hediste,Hediste diversicolor,-4.386,57.509
Nereididae,Hediste,Hediste diversicolor,-4.386,57.488
Nereididae,Hediste,Hediste diversicolor,-4.385,54.327
Nereididae,Hediste,Hediste diversicolor,-4.385,53.178
Nereididae,Hediste,Hediste diversicolor,-4.384,53.178
Nereididae,Hediste,Hediste diversicolor,-4.383,57.489
Nereididae,Hediste,Hediste diversicolor,-4.383,57.51
Nereididae,Hediste,Hediste diversicolor,-4.382,53.188
Nereididae,Hediste,Hediste diversicolor,-4.38,57.511
Nereididae,Hediste,Hediste diversicolor,-4.378,51.765
Nereididae,Hediste,Hediste diversicolor,-4.377,51.775
Nereididae,Hediste,Hediste diversicolor,-4.377,51.774
Nereididae,Hediste,Hediste diversicolor,-4.376,51.774
Nereididae,Hediste,Hediste diversicolor,-4.376,57.511
Nereididae,Hediste,Hediste diversicolor,-4.375,51.774
Nereididae,Hediste,Hediste diversicolor,-4.374,51.774
Nereididae,Hediste,Hediste diversicolor,-4.373,51.774
Nereididae,Hediste,Hediste diversicolor,-4.373,51.775
Nereididae,Hediste,Hediste diversicolor,-4.372,51.774
Nereididae,Hediste,Hediste diversicolor,-4.372,51.789
Nereididae,Hediste,Hediste diversicolor,-4.371,51.769
Nereididae,Hediste,Hediste diversicolor,-4.37,48.331
Nereididae,Hediste,Hediste diversicolor,-4.37,57.481
Nereididae,Hediste,Hediste diversicolor,-4.368,51.791
Nereididae,Hediste,Hediste diversicolor,-4.368,57.509
Nereididae,Hediste,Hediste diversicolor,-4.368,57.482
Nereididae,Hediste,Hediste diversicolor,-4.367,51.781
Nereididae,Hediste,Hediste diversicolor,-4.367,51.791
Nereididae,Hediste,Hediste diversicolor,-4.366,51.732
Nereididae,Hediste,Hediste diversicolor,-4.366,51.781
Nereididae,Hediste,Hediste diversicolor,-4.366,57.51
Nereididae,Hediste,Hediste diversicolor,-4.363,51.773
Nereididae,Hediste,Hediste diversicolor,-4.36,51.73
Nereididae,Hediste,Hediste diversicolor,-4.36,51.737
Nereididae,Hediste,Hediste diversicolor,-4.36,51.731
Nereididae,Hediste,Hediste diversicolor,-4.36,51.736
Nereididae,Hediste,Hediste diversicolor,-4.359,51.737
Nereididae,Hediste,Hediste diversicolor,-4.359,57.884
Nereididae,Hediste,Hediste diversicolor,-4.359,51.736
Nereididae,Hediste,Hediste diversicolor,-4.358,51.73
Nereididae,Hediste,Hediste diversicolor,-4.357,57.885
Nereididae,Hediste,Hediste diversicolor,-4.356,57.883
Nereididae,Hediste,Hediste diversicolor,-4.355,57.884
Nereididae,Hediste,Hediste diversicolor,-4.354,51.733
Nereididae,Hediste,Hediste diversicolor,-4.348,53.123
Nereididae,Hediste,Hediste diversicolor,-4.347,57.506
Nereididae,Hediste,Hediste diversicolor,-4.347,51.736
Nereididae,Hediste,Hediste diversicolor,-4.346,53.123
Nereididae,Hediste,Hediste diversicolor,-4.342,53.049
Nereididae,Hediste,Hediste diversicolor,-4.341,51.799
Nereididae,Hediste,Hediste diversicolor,-4.335,52.216
Nereididae,Hediste,Hediste diversicolor,-4.334,52.216
Nereididae,Hediste,Hediste diversicolor,-4.333,52.215
Nereididae,Hediste,Hediste diversicolor,-4.333,53.429
Nereididae,Hediste,Hediste diversicolor,-4.332,51.735
Nereididae,Hediste,Hediste diversicolor,-4.331,51.733
Nereididae,Hediste,Hediste diversicolor,-4.331,53.129
Nereididae,Hediste,Hediste diversicolor,-4.33,51.732
Nereididae,Hediste,Hediste diversicolor,-4.326,53.116
Nereididae,Hediste,Hediste diversicolor,-4.324,51.804
Nereididae,Hediste,Hediste diversicolor,-4.324,53.116
Nereididae,Hediste,Hediste diversicolor,-4.323,51.733
Nereididae,Hediste,Hediste diversicolor,-4.322,51.734
Nereididae,Hediste,Hediste diversicolor,-4.321,50.39
Nereididae,Hediste,Hediste diversicolor,-4.32,53.16
Nereididae,Hediste,Hediste diversicolor,-4.32,53.109
Nereididae,Hediste,Hediste diversicolor,-4.319,53.159
Nereididae,Hediste,Hediste diversicolor,-4.318,51.844
Nereididae,Hediste,Hediste diversicolor,-4.318,51.843
Nereididae,Hediste,Hediste diversicolor,-4.318,53.109
Nereididae,Hediste,Hediste diversicolor,-4.317,53.107
Nereididae,Hediste,Hediste diversicolor,-4.317,53.123
Nereididae,Hediste,Hediste diversicolor,-4.317,53.106
Nereididae,Hediste,Hediste diversicolor,-4.317,53.104
Nereididae,Hediste,Hediste diversicolor,-4.315,53.104
