Name,long,lat
Gymnonereis crosslandi,-40.195,-19.943
Gymnonereis crosslandi,-40.192,-19.923
Gymnonereis crosslandi,-40.19,-19.951
Gymnonereis crosslandi,-40.181,-19.949
Gymnonereis crosslandi,-40.178,-19.926
Gymnonereis crosslandi,-40.176,-19.939
Gymnonereis crosslandi,-40.169,-19.955
,72.96,18.99
,73.13,17
,73.26,16.02
Gymnonereis phuketensis,95,10
Gymnonereis fauveli,95,10
,95,10
Gymnonereis sibogae,107,19.005
Gymnonereis phuketensis,107.873,3.909
Gymnonereis phuketensis,108.017,3.675
Gymnonereis yurieli,108.401,4.184
Gymnonereis phuketensis,108.401,4.184
,108.401,4.184
Gymnonereis yurieli,116.449,-19.58
,116.449,-19.58
Gymnonereis yurieli,116.553,-20.683
,116.553,-20.683
Gymnonereis yurieli,116.616,-20.47
,116.616,-20.47
Gymnonereis sibogae,117.4,-7.54
Gymnonereis sibogae,119.05,-4.96
Gymnonereis sibogae,119.25,39.183
Gymnonereis sibogae,119.368,33.013
Gymnonereis sibogae,119.75,35
Gymnonereis sibogae,120.43,-6.53
Gymnonereis sibogae,120.683,38.617
Gymnonereis sibogae,120.75,36
Gymnonereis sibogae,120.75,35.75
Gymnonereis sibogae,121.25,36
Gymnonereis sibogae,121.433,37.8
Gymnonereis sibogae,121.5,36.25
Gymnonereis sibogae,121.75,36.25
Gymnonereis sibogae,121.95,38.117
Gymnonereis sibogae,122.1,37.617
Gymnonereis sibogae,122.25,36.5
Gymnonereis sibogae,122.5,36
Gymnonereis sibogae,123.5,28.5
Gymnonereis yurieli,126.929,-11.407
,126.929,-11.407
Gymnonereis yurieli,126.945,-11.426
,126.945,-11.426
Gymnonereis yurieli,126.964,-11.424
,126.964,-11.424
Gymnonereis yurieli,126.971,-11.441
,126.971,-11.441
Gymnonereis yurieli,126.977,-11.79
,126.977,-11.79
Gymnonereis yurieli,127.404,-12.192
,127.404,-12.192
Gymnonereis yurieli,127.431,-12.2
,127.431,-12.2
Gymnonereis yurieli,127.453,-12.199
,127.453,-12.199
Gymnonereis yurieli,128.901,-12.67
Gymnonereis yurieli,129.554,-10.447
Gymnonereis yurieli,129.668,-10.428
,129.668,-10.428
Gymnonereis yurieli,129.683,-10.299
,129.683,-10.299
Gymnonereis yurieli,129.691,-10.3
,129.691,-10.3
Gymnonereis yurieli,129.988,-12.359
Gymnonereis yurieli,130.063,-12.317
,130.063,-12.317
Gymnonereis yurieli,130.731,-12.632
,130.731,-12.632
Gymnonereis yurieli,130.735,-12.52
,130.735,-12.52
Gymnonereis yurieli,130.745,-12.504
,130.745,-12.504
Gymnonereis yurieli,130.745,-12.505
,130.745,-12.505
Gymnonereis yurieli,130.75,-12.581
,130.75,-12.581
Gymnonereis yurieli,130.754,-12.488
,130.754,-12.488
Gymnonereis yurieli,130.755,-12.572
,130.755,-12.572
Gymnonereis yurieli,130.765,-12.432
,130.765,-12.432
Gymnonereis yurieli,130.768,-12.563
,130.768,-12.563
Gymnonereis yurieli,130.769,-12.441
,130.769,-12.441
Gymnonereis yurieli,130.77,-12.362
,130.77,-12.362
Gymnonereis yurieli,130.781,-12.603
,130.781,-12.603
Gymnonereis yurieli,130.788,-12.384
,130.788,-12.384
Gymnonereis yurieli,130.8,-12.51
,130.8,-12.51
Gymnonereis yurieli,130.803,-12.528
,130.803,-12.528
Gymnonereis yurieli,130.812,-12.511
,130.812,-12.511
Gymnonereis yurieli,130.814,-12.55
,130.814,-12.55
Gymnonereis yurieli,130.815,-12.421
,130.815,-12.421
Gymnonereis yurieli,130.818,-12.426
,130.818,-12.426
Gymnonereis yurieli,130.821,-12.447
,130.821,-12.447
Gymnonereis yurieli,130.822,-12.509
,130.822,-12.509
Gymnonereis yurieli,130.831,-12.486
,130.831,-12.486
Gymnonereis yurieli,130.833,-12.511
,130.833,-12.511
Gymnonereis yurieli,130.836,-12.492
,130.836,-12.492
Gymnonereis yurieli,130.837,-12.548
,130.837,-12.548
Gymnonereis yurieli,130.842,-12.518
,130.842,-12.518
Gymnonereis yurieli,130.843,-12.504
,130.843,-12.504
Gymnonereis yurieli,130.848,-12.533
,130.848,-12.533
Gymnonereis yurieli,130.853,-12.452
,130.853,-12.452
Gymnonereis yurieli,130.86,-12.494
,130.86,-12.494
Gymnonereis yurieli,130.861,-12.55
,130.861,-12.55
Gymnonereis yurieli,130.867,-12.472
,130.867,-12.472
Gymnonereis yurieli,130.876,-12.626
,130.876,-12.626
Gymnonereis yurieli,130.881,-12.554
,130.881,-12.554
Gymnonereis yurieli,130.885,-12.475
,130.885,-12.475
Gymnonereis yurieli,130.885,-12.601
,130.885,-12.601
Gymnonereis yurieli,130.886,-12.468
,130.886,-12.468
Gymnonereis yurieli,130.887,-12.558
,130.887,-12.558
Gymnonereis yurieli,130.89,-12.497
,130.89,-12.497
Gymnonereis yurieli,130.893,-12.487
,130.893,-12.487
Gymnonereis yurieli,130.898,-12.593
,130.898,-12.593
Gymnonereis yurieli,130.91,-12.488
,130.91,-12.488
Gymnonereis yurieli,130.924,-12.511
,130.924,-12.511
Gymnonereis yurieli,130.926,-12.487
,130.926,-12.487
Gymnonereis yurieli,130.926,-12.566
,130.926,-12.566
Gymnonereis yurieli,130.931,-12.6
,130.931,-12.6
Gymnonereis yurieli,130.934,-12.477
,130.934,-12.477
Gymnonereis yurieli,130.934,-12.519
,130.934,-12.519
Gymnonereis yurieli,130.941,-12.612
,130.941,-12.612
Gymnonereis yurieli,130.946,-12.555
,130.946,-12.555
Gymnonereis yurieli,134.163,-9.383
,134.163,-9.383
Gymnonereis yurieli,134.195,-9.402
,134.195,-9.402
Gymnonereis yurieli,134.501,-9.9
,134.501,-9.9
Gymnonereis yurieli,136.383,-15.617
,136.383,-15.617
Gymnonereis yurieli,136.718,-15.376
Gymnonereis yurieli,137.704,-15.293
Gymnonereis yurieli,137.793,-15.525
Gymnonereis minyami,137.833,-32.788
Gymnonereis minyami,137.85,-33.266
Gymnonereis minyami,137.916,-33.2
Gymnonereis minyami,137.955,-33.08
Gymnonereis minyami,137.955,-33.083
Gymnonereis yurieli,146.33,-18.82
,146.33,-18.82
Gymnonereis yurieli,146.617,-19.15
Gymnonereis yurieli,146.62,-19.15
Gymnonereis yurieli,146.633,-19.166
Gymnonereis yurieli,146.633,-19.167
Gymnonereis yurieli,146.733,-19.166
Gymnonereis yurieli,153.35,-27.5
